threshold,precision,recall,f1,tp,fp,notes_found,total_linked,top1_recall,top3_recall,batch
0.81,1.0,0.8888888888888888,0.9411764705882353,40,0,40,45,0.9777777777777777,1.0,4
0.8200000000000001,1.0,0.8666666666666667,0.9285714285714286,39,0,39,45,0.9777777777777777,1.0,4
0.8300000000000001,1.0,0.8666666666666667,0.9285714285714286,39,0,39,45,0.9777777777777777,1.0,4
0.8400000000000001,1.0,0.8666666666666667,0.9285714285714286,39,0,39,45,0.9777777777777777,1.0,4
0.8500000000000001,1.0,0.8444444444444444,0.9156626506024096,38,0,38,45,0.9777777777777777,1.0,4
0.8600000000000001,1.0,0.8444444444444444,0.9156626506024096,38,0,38,45,0.9777777777777777,1.0,4
0.7,0.632183908045977,0.873015873015873,0.7333333333333333,55,32,55,63,0.873015873015873,0.8888888888888888,5
0.71,0.6707317073170732,0.873015873015873,0.7586206896551724,55,27,55,63,0.873015873015873,0.8888888888888888,5
0.72,0.7051282051282052,0.873015873015873,0.7801418439716312,55,23,55,63,0.873015873015873,0.8888888888888888,5
0.73,0.7333333333333333,0.873015873015873,0.7971014492753622,55,20,55,63,0.873015873015873,0.8888888888888888,5
0.74,0.7534246575342466,0.873015873015873,0.8088235294117647,55,18,55,63,0.873015873015873,0.8888888888888888,5
0.75,0.7857142857142857,0.873015873015873,0.8270676691729324,55,15,55,63,0.873015873015873,0.8888888888888888,5
0.76,0.7971014492753623,0.873015873015873,0.8333333333333334,55,14,55,63,0.873015873015873,0.8888888888888888,5
0.77,0.7971014492753623,0.873015873015873,0.8333333333333334,55,14,55,63,0.873015873015873,0.8888888888888888,5
0.78,0.8571428571428571,0.8571428571428571,0.8571428571428571,54,9,54,63,0.873015873015873,0.8888888888888888,5
0.79,0.9,0.8571428571428571,0.8780487804878048,54,6,54,63,0.873015873015873,0.8888888888888888,5
0.8,0.9473684210526315,0.8571428571428571,0.9,54,3,54,63,0.873015873015873,0.8888888888888888,5
0.81,0.9814814814814815,0.8412698412698413,0.905982905982906,53,1,53,63,0.873015873015873,0.8888888888888888,5
0.8200000000000001,0.9807692307692307,0.8095238095238095,0.8869565217391304,51,1,51,63,0.873015873015873,0.8888888888888888,5
0.8300000000000001,1.0,0.7777777777777778,0.8750000000000001,49,0,49,63,0.873015873015873,0.8888888888888888,5
0.8400000000000001,1.0,0.7619047619047619,0.8648648648648648,48,0,48,63,0.873015873015873,0.8888888888888888,5
0.8500000000000001,1.0,0.746031746031746,0.8545454545454546,47,0,47,63,0.873015873015873,0.8888888888888888,5
0.8600000000000001,1.0,0.746031746031746,0.8545454545454546,47,0,47,63,0.873015873015873,0.8888888888888888,5
